Bab Ezzouar, Algeria,
Bobo-Dioulasso, Burkina Faso,
Bocaue, Philippines,
Bochum, Germany,
Bogor, Indonesia,
Bogota, Colombia,
Bogra, Bangladesh,
Boise, United States,
Bojnord, Iran,
Bokaro Steel City, India,
Boksburg, South Africa,
Bole, China,
Bologna, Italy,
Bolton, United Kingdom,
Bolzano, Italy,
Boma, Democratic Republic of the Congo,
Bonn, Germany,
Bordeaux, France,
Bordj Bou Arréridj, Algeria,
Bordj El Kiffan, Algeria,
Borujerd, Iran,
Bosaso, Somalia,
Boston, United States,
Botoșani, Romania,
Botou, China,
Botshabelo, South Africa
Bottrop, Germany,
Botucatu, Brazil,
Bou Saâda, Algeria,
Bouaké, Ivory Coast,
Boulder, United States,
Boulogne-Billancourt, France,
Bourg-en-Bresse, France,
Bournemouth, United Kingdom,
Bozhou, China,
Bradford, United Kingdom,
Braga, Portugal,
Bragança Paulista, Brazil,
Brăila, Romania,
Brampton, Canada,
Brasília, Brazil,
Brașov, Romania,
Bratislava, Slovakia,
Bratsk, Russia,
Braunschweig, Germany,
Brazzaville, Republic of the Congo,
Breda, Netherlands,
Bremen, Germany,
Bremerhaven, Germany,
Brescia, Italy,
Brest, Belarus,
Brest, France,
Bridgeport, United States,
Brighton, United Kingdom,
Brisbane, Australia,
Bristol, United Kingdom,
Brno, Czech Republic,
Brownsville, United States,
Bruges, Belgium,
Brussels, Belgium,
Bryansk, Russia,
Bucaramanga, Colombia,
Bucharest, Romania,
Bucheon, South Korea,
Budapest, Hungary,
Budaun, India,
Buenaventura, Colombia,
Buenos Aires, Argentina,
Buffalo, United States,
Buga, Colombia,
Bujumbura, Burundi,
Bukan, Iran,
Bukavu, Democratic Republic of the Congo,
Bukhara, Uzbekistan,
Bulandshahr, India,
Bulawayo, Zimbabwe,
Buôn Ma Thuột, Vietnam,
Burao, Somalia,
Burbank, United States,
Burewala, Pakistan,
Burgas, Bulgaria,
Burgos, Spain,
Burhanpur, India,
Burlington, Canada,
Burnaby, Canada,
Bursa, Turkey,
Bury, United Kingdom,
Busan, South Korea,
Bushehr, Iran,
Butuan, Philippines,
Buzău, Romania,
Bydgoszcz, Poland,
Bytom, Poland,
Butwal, Nepal,
